Package,LibPath,Version,Priority,Built
knitr,/Users/jenny/resources/R/library,1.21,NA,3.5.2
ks,/Users/jenny/resources/R/library,1.11.3,NA,3.5.0
labeling,/Users/jenny/resources/R/library,0.3,NA,3.5.0
Lahman,/Users/jenny/resources/R/library,6.0-0,NA,3.5.0
later,/Users/jenny/resources/R/library,0.7.5,NA,3.5.0
latticeExtra,/Users/jenny/resources/R/library,0.6-28,NA,3.5.0
lava,/Users/jenny/resources/R/library,1.6.3,NA,3.5.0
lavaan,/Users/jenny/resources/R/library,0.6-3,NA,3.5.0
lazyeval,/Users/jenny/resources/R/library,0.2.1,NA,3.5.0
lfe,/Users/jenny/resources/R/library,2.8-2,NA,3.5.0
lintr,/Users/jenny/resources/R/library,1.0.3,NA,3.5.0
lme4,/Users/jenny/resources/R/library,1.1-19,NA,3.5.0
lmodel2,/Users/jenny/resources/R/library,1.7-3,NA,3.5.0
lmtest,/Users/jenny/resources/R/library,0.9-36,NA,3.5.0
lobstr,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.5.1
loo,/Users/jenny/resources/R/library,2.0.0,NA,3.5.0
lookup,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.5.1
lpSolve,/Users/jenny/resources/R/library,5.6.13,NA,3.5.0
lsmeans,/Users/jenny/resources/R/library,2.30-0,NA,3.5.0
lubridate,/Users/jenny/resources/R/library,1.7.4,NA,3.5.0
magick,/Users/jenny/resources/R/library,2.0,NA,3.5.0
magrittr,/Users/jenny/resources/R/library,1.5,NA,3.5.0
manipulateWidget,/Users/jenny/resources/R/library,0.10.0,NA,3.5.0
maps,/Users/jenny/resources/R/library,3.3.0,NA,3.5.0
maptools,/Users/jenny/resources/R/library,0.9-4,NA,3.5.0
markdown,/Users/jenny/resources/R/library,0.9,NA,3.5.0
matrixcalc,/Users/jenny/resources/R/library,1.0-3,NA,3.5.0
MatrixModels,/Users/jenny/resources/R/library,0.4-1,NA,3.5.0
matrixStats,/Users/jenny/resources/R/library,0.54.0,NA,3.5.0
maxLik,/Users/jenny/resources/R/library,1.3-4,NA,3.5.0
mclust,/Users/jenny/resources/R/library,5.4.2,NA,3.5.0
mediation,/Users/jenny/resources/R/library,4.4.6,NA,3.5.0
memoise,/Users/jenny/resources/R/library,1.1.0,NA,3.5.0
mime,/Users/jenny/resources/R/library,0.6,NA,3.5.0
miniUI,/Users/jenny/resources/R/library,0.1.1.1,NA,3.5.0
minqa,/Users/jenny/resources/R/library,1.2.4,NA,3.5.0
miscTools,/Users/jenny/resources/R/library,0.6-22,NA,3.5.0
mnormt,/Users/jenny/resources/R/library,1.5-5,NA,3.5.0
mockery,/Users/jenny/resources/R/library,0.4.1.1,NA,3.5.0
mockr,/Users/jenny/resources/R/library,0.1,NA,3.5.0
ModelMetrics,/Users/jenny/resources/R/library,1.2.2,NA,3.5.0
modelr,/Users/jenny/resources/R/library,0.1.2,NA,3.5.0
modeltests,/Users/jenny/resources/R/library,0.1.0,NA,3.5.1
modeltools,/Users/jenny/resources/R/library,0.2-22,NA,3.5.0
moments,/Users/jenny/resources/R/library,0.14,NA,3.5.0
muhaz,/Users/jenny/resources/R/library,1.2.6,NA,3.5.0
multcomp,/Users/jenny/resources/R/library,1.4-8,NA,3.5.0
multicool,/Users/jenny/resources/R/library,0.1-10,NA,3.5.0
munsell,/Users/jenny/resources/R/library,0.5.0,NA,3.5.0
mvtnorm,/Users/jenny/resources/R/library,1.0-8,NA,3.5.0
network,/Users/jenny/resources/R/library,1.13.0.1,NA,3.5.0
nleqslv,/Users/jenny/resources/R/library,3.3.2,NA,3.5.0
nloptr,/Users/jenny/resources/R/library,1.2.1,NA,3.5.0
numDeriv,/Users/jenny/resources/R/library,2016.8-1,NA,3.5.0
nycflights13,/Users/jenny/resources/R/library,1.0.0,NA,3.5.0
openssl,/Users/jenny/resources/R/library,1.1,NA,3.5.0
openxlsx,/Users/jenny/resources/R/library,4.1.0,NA,3.5.0
orcutt,/Users/jenny/resources/R/library,2.3,NA,3.5.0
ordinal,/Users/jenny/resources/R/library,2018.8-25,NA,3.5.0
packrat,/Users/jenny/resources/R/library,0.5.0,NA,3.5.0
parsedate,/Users/jenny/resources/R/library,1.1.3,NA,3.5.0
partitions,/Users/jenny/resources/R/library,1.9-19,NA,3.5.0
pbivnorm,/Users/jenny/resources/R/library,0.6.0,NA,3.5.0
pbkrtest,/Users/jenny/resources/R/library,0.4-7,NA,3.5.0
pcaPP,/Users/jenny/resources/R/library,1.9-73,NA,3.5.0
pdftools,/Users/jenny/resources/R/library,1.8,NA,3.5.0
permute,/Users/jenny/resources/R/library,0.9-4,NA,3.5.0
pillar,/Users/jenny/resources/R/library,1.3.1,NA,3.5.0
pingr,/Users/jenny/resources/R/library,1.1.2,NA,3.5.0
